,Rank,Nickname,Score
55,1,Tia B,48
56,2,Tristan L,45
18,3,Dax W,44
15,4,Dan K,43
22,5,Fred K,41
39,6,Mark J,40
44,7,Peter C,38
30,7,John W,38
47,9,Renee B,37
2,9,Alvin T,37
31,9,Johnny B,37
19,12,Dirk P,36
32,12,Jonathan R,36
20,14,Eric K,35
41,14,Patricia H,35
29,16,John J,34
35,16,Kelsey P,34
52,16,Steven J,34
11,19,Connie K,33
0,20,Grapefruit,32
7,20,CH1,32
40,22,Monica C,31
4,22,Brendan W,31
27,22,Jane S,31
25,25,Jack S,30
53,26,Suz B,29
28,26,Joe Canada,29
50,28,Sandra S,28
6,28,Cab,28
26,28,Jake R,28
17,31,David P,27
23,32,Captain,26
46,32,Reed F,26
34,32,Justin D,26
13,32,Craig G,26
24,36,Isaac K,25
45,36,Ray B,25
38,36,Maggie J,25
10,36,Cole W,25
54,40,Thomas N,24
57,40,Tyler K,24
14,40,Damon T,24
43,43,Paul R,22
3,44,Brady J,21
51,44,Spencer W,21
12,44,Courtney K,21
42,47,Paul P,20
1,48,Aiden M,19
5,48,Expert,19
9,48,Coco P,19
33,51,Josh T,18
37,51,Larry W,18
36,53,Kevin J,16
21,53,Ethan H,16
8,55,CH2,13
49,56,Rylan P,10
16,57,No Mercy,5
48,57,Roitman,5
